Phase,Day,Timestep,Age,IncomeBracket,HouseholdSize,MaritalStatus,EmploymentStatus,Gender,LoyaltyType,LoyaltyFirm,LoyaltyStrength
run,0,0,28,50k-100k,1,Single,Employed,Female,Returning,Firm2,0.7413841485977173
run,0,0,28,50k-100k,2,Married,Employed,Female,Returning,Firm2,0.5015116333961487
run,0,0,46,200k+,1,Single,Employed,Male,Returning,Firm1,0.5988094806671143
run,0,0,43,50k-100k,1,Divorced,Employed,Male,Returning,Firm1,0.5461660027503967
run,0,0,18,100k-200k,3,Single,Student,Male,Returning,Firm2,0.8615317344665527
run,0,0,36,50k-100k,1,Divorced,Employed,Male,Returning,Firm2,0.5160108208656311
run,0,0,18,<50k,2,Divorced,Employed,Female,New,,0.0
run,0,0,41,50k-100k,3,Single,Employed,Male,New,,0.0
run,0,0,30,50k-100k,5,Single,Employed,Male,New,,0.0
run,0,0,49,50k-100k,1,Single,Employed,Male,Returning,Firm2,0.5256065130233765
run,0,0,31,50k-100k,1,Single,Employed,Female,New,,0.0
run,0,0,38,50k-100k,4,Married,Employed,Female,Returning,Firm1,0.5619382858276367
run,0,0,22,50k-100k,2,Single,Employed,Male,Returning,Firm1,0.8531498312950134
run,0,0,36,<50k,5,Single,Employed,Male,New,,0.0
run,0,0,44,<50k,3,Married,Employed,Male,New,,0.0
run,0,0,33,50k-100k,2,Divorced,Unemployed,Female,Returning,Firm1,0.7618107199668884
run,0,0,27,200k+,1,Married,Employed,Female,Returning,Firm2,0.8581578731536865
run,0,0,27,100k-200k,4,Single,Employed,Female,New,,0.0
run,0,0,26,200k+,2,Married,Employed,Male,New,,0.0
run,0,0,26,50k-100k,2,Single,Employed,Male,New,,0.0
run,0,0,18,200k+,5,Married,Student,Female,Returning,Firm2,0.5208943486213684
run,0,0,34,50k-100k,1,Married,Employed,Male,Returning,Firm2,0.7476881146430969
run,0,0,26,50k-100k,2,Single,Employed,Female,New,,0.0
run,0,0,25,200k+,2,Single,Employed,Female,Returning,Firm1,0.4502449035644531
run,0,0,29,<50k,1,Married,Employed,Male,Returning,Firm1,0.8774833679199219
run,0,0,46,<50k,1,Married,Employed,Male,New,,0.0
run,0,0,36,<50k,1,Married,Employed,Female,Returning,Firm1,0.9993810057640076
run,0,0,46,50k-100k,2,Single,Employed,Female,Returning,Firm1,0.4632224142551422
run,0,0,39,<50k,2,Single,Employed,Female,Returning,Firm1,0.9608491063117981
run,0,0,18,50k-100k,2,Single,Employed,Male,New,,0.0
run,0,0,20,<50k,2,Married,Student,Male,Returning,Firm1,0.4503065049648285
run,0,0,34,200k+,1,Divorced,Employed,Female,Returning,Firm2,0.5561573505401611
run,0,0,40,50k-100k,4,Divorced,Employed,Female,Returning,Firm1,0.7510944604873657
run,0,0,18,50k-100k,1,Single,Student,Male,New,,0.0
run,0,0,42,50k-100k,1,Married,Employed,Male,Returning,Firm1,0.668812096118927
run,0,0,18,<50k,2,Married,Student,Female,Returning,Firm1,0.6699615716934204
run,0,0,18,50k-100k,6,Single,Employed,Male,Returning,Firm2,0.5552940368652344
run,0,0,51,100k-200k,2,Married,Employed,Male,Returning,Firm1,0.5595824122428894
run,0,0,37,<50k,2,Married,Employed,Male,Returning,Firm1,0.45565932989120483
run,0,0,33,200k+,2,Married,Employed,Male,Returning,Firm2,0.8261419534683228
run,0,0,39,<50k,1,Married,Employed,Male,Returning,Firm1,0.43083029985427856
run,0,0,49,50k-100k,3,Single,Employed,Female,Returning,Firm1,0.9317887425422668
run,0,0,18,50k-100k,3,Single,Student,Male,Returning,Firm1,0.8539354205131531
run,0,0,33,50k-100k,1,Divorced,Employed,Male,New,,0.0
run,0,0,38,50k-100k,4,Single,Employed,Male,Returning,Firm1,0.6027570366859436
run,0,0,31,50k-100k,1,Divorced,Employed,Female,Returning,Firm1,0.5126572847366333
run,0,0,33,200k+,1,Married,Unemployed,Male,Returning,Firm2,0.4650108516216278
run,0,0,42,50k-100k,3,Married,Employed,Female,New,,0.0
run,0,0,18,50k-100k,1,Divorced,Student,Male,Returning,Firm2,0.7600682377815247
run,0,0,33,<50k,1,Single,Employed,Female,New,,0.0
run,0,0,20,50k-100k,2,Single,Student,Male,New,,0.0
run,0,0,27,<50k,3,Married,Employed,Female,Returning,Firm1,0.5162176489830017
run,0,0,50,50k-100k,2,Single,Employed,Male,Returning,Firm1,0.8059327006340027
run,0,0,60,50k-100k,2,Single,Employed,Female,Returning,Firm1,0.719873309135437
run,0,0,18,100k-200k,3,Single,Student,Male,Returning,Firm2,0.9233354926109314
run,0,0,29,200k+,1,Single,Unemployed,Male,New,,0.0
run,0,0,35,50k-100k,1,Married,Employed,Male,Returning,Firm2,0.6567866206169128
run,0,0,47,200k+,2,Divorced,Employed,Male,New,,0.0
run,0,0,33,50k-100k,1,Single,Unemployed,Male,New,,0.0
run,0,0,39,50k-100k,2,Single,Employed,Female,Returning,Firm1,0.8995163440704346
run,0,0,18,50k-100k,5,Single,Student,Male,New,,0.0
run,0,0,43,<50k,2,Single,Employed,Male,Returning,Firm1,0.44949787855148315
run,0,0,20,50k-100k,3,Married,Student,Female,Returning,Firm2,0.9740917682647705
run,0,0,37,50k-100k,1,Single,Employed,Female,Returning,Firm1,0.8412514925003052
run,0,0,47,50k-100k,4,Single,Employed,Female,New,,0.0
run,0,0,46,<50k,4,Single,Employed,Female,Returning,Firm1,0.4393557012081146
run,0,0,26,<50k,2,Married,Employed,Male,New,,0.0
run,0,0,43,100k-200k,2,Single,Employed,Male,Returning,Firm2,0.7325535416603088
run,0,0,18,50k-100k,1,Single,Student,Female,New,,0.0
run,0,0,34,100k-200k,2,Married,Employed,Male,Returning,Firm1,0.497300386428833
run,0,0,36,<50k,2,Married,Unemployed,Female,Returning,Firm2,0.48194608092308044
run,0,0,46,<50k,1,Single,Employed,Female,Returning,Firm2,0.9095346927642822
run,0,0,25,<50k,3,Divorced,Employed,Female,New,,0.0
run,0,0,25,100k-200k,1,Single,Employed,Female,Returning,Firm1,0.7101840972900391
run,0,0,43,200k+,5,Single,Employed,Female,Returning,Firm2,0.9475384950637817
run,0,0,50,50k-100k,1,Married,Unemployed,Female,New,,0.0
run,0,0,42,100k-200k,1,Single,Employed,Female,New,,0.0
run,0,0,41,50k-100k,2,Married,Employed,Male,New,,0.0
run,0,0,35,<50k,2,Married,Employed,Female,New,,0.0
run,0,0,20,50k-100k,4,Divorced,Employed,Female,Returning,Firm2,0.41464880108833313
run,0,0,29,50k-100k,1,Married,Employed,Female,New,,0.0
run,0,0,47,50k-100k,1,Single,Employed,Female,Returning,Firm2,0.7961214780807495
run,0,0,33,100k-200k,3,Single,Employed,Female,Returning,Firm2,0.8406861424446106
run,0,0,47,50k-100k,1,Single,Employed,Female,Returning,Firm1,0.8985313177108765
run,0,0,38,50k-100k,1,Married,Employed,Female,Returning,Firm1,0.5416038036346436
run,0,0,30,100k-200k,1,Single,Employed,Female,Returning,Firm2,0.7646022439002991
run,0,0,32,50k-100k,2,Married,Employed,Female,New,,0.0
run,0,0,28,<50k,1,Divorced,Employed,Male,New,,0.0
run,0,0,31,50k-100k,1,Single,Employed,Female,New,,0.0
run,0,0,18,200k+,1,Married,Student,Male,Returning,Firm2,0.6961308717727661
run,0,0,29,<50k,6,Single,Employed,Male,New,,0.0
run,0,0,43,100k-200k,4,Married,Employed,Male,Returning,Firm2,0.8691788911819458
run,0,0,18,50k-100k,2,Married,Student,Male,New,,0.0
run,0,0,73,50k-100k,4,Divorced,Retired,Male,Returning,Firm1,0.7666622996330261
run,0,0,31,100k-200k,1,Married,Employed,Female,Returning,Firm1,0.8652471899986267
run,0,0,43,200k+,5,Single,Employed,Male,Returning,Firm2,0.5237354040145874
run,0,0,46,50k-100k,1,Married,Employed,Male,New,,0.0
run,0,0,53,<50k,1,Single,Employed,Female,Returning,Firm2,0.7370969653129578
run,0,0,28,200k+,1,Married,Employed,Male,Returning,Firm1,0.47948306798934937
run,0,0,40,<50k,1,Married,Employed,Female,Returning,Firm1,0.8198711276054382
run,0,0,44,50k-100k,1,Single,Unemployed,Female,New,,0.0
run,0,0,30,<50k,2,Single,Employed,Female,Returning,Firm2,0.9101980328559875
run,0,0,39,200k+,2,Married,Employed,Female,New,,0.0
run,0,0,53,50k-100k,1,Single,Unemployed,Male,New,,0.0
run,0,0,35,50k-100k,1,Single,Employed,Male,New,,0.0
run,0,0,26,100k-200k,2,Single,Employed,Female,Returning,Firm2,0.6808307766914368
run,0,0,27,200k+,1,Married,Unemployed,Female,Returning,Firm2,0.42077481746673584
run,0,0,27,50k-100k,1,Single,Unemployed,Female,New,,0.0
run,0,0,20,100k-200k,3,Single,Student,Male,New,,0.0
run,0,0,20,<50k,3,Married,Employed,Female,Returning,Firm2,0.4874088764190674
run,0,0,18,50k-100k,1,Single,Employed,Male,Returning,Firm1,0.5301273465156555
run,0,0,18,<50k,3,Single,Student,Male,Returning,Firm2,0.946967601776123
run,0,0,50,50k-100k,2,Married,Employed,Female,Returning,Firm2,0.9641124606132507
run,0,0,18,200k+,2,Married,Employed,Male,Returning,Firm2,0.6056014895439148
run,0,0,44,100k-200k,1,Married,Employed,Male,Returning,Firm1,0.9666732549667358
run,0,0,24,50k-100k,3,Single,Employed,Female,New,,0.0
run,0,0,30,100k-200k,1,Single,Employed,Male,New,,0.0
run,0,0,27,<50k,1,Single,Employed,Male,Returning,Firm2,0.6165622472763062
run,0,0,42,100k-200k,2,Married,Employed,Female,Returning,Firm1,0.6069613695144653
run,0,0,40,50k-100k,2,Single,Employed,Male,New,,0.0
run,0,0,48,100k-200k,1,Single,Employed,Female,Returning,Firm1,0.4380829930305481
run,0,0,29,100k-200k,1,Divorced,Employed,Female,New,,0.0
run,0,0,44,<50k,1,Single,Employed,Female,New,,0.0
run,0,0,39,<50k,1,Married,Employed,Male,Returning,Firm1,0.6423584818840027
run,0,0,36,<50k,2,Single,Employed,Male,Returning,Firm1,0.9432106018066406
run,0,0,38,<50k,2,Single,Employed,Female,New,,0.0
run,0,0,45,<50k,2,Single,Employed,Male,New,,0.0
run,0,0,23,50k-100k,2,Single,Employed,Male,Returning,Firm2,0.6023027896881104
run,0,0,35,50k-100k,2,Married,Employed,Male,Returning,Firm2,0.6875355839729309
run,0,0,34,<50k,2,Married,Employed,Male,New,,0.0
run,0,0,64,50k-100k,1,Single,Employed,Male,Returning,Firm1,0.4786497950553894
run,0,0,54,50k-100k,2,Married,Employed,Male,Returning,Firm1,0.8882342576980591
run,0,0,27,<50k,2,Married,Employed,Female,Returning,Firm2,0.8554589748382568
run,0,0,41,<50k,1,Married,Unemployed,Male,New,,0.0
run,0,0,42,100k-200k,2,Single,Employed,Female,Returning,Firm2,0.7756128311157227
run,0,0,30,50k-100k,1,Single,Employed,Male,Returning,Firm2,0.7641777396202087
run,0,0,24,200k+,1,Married,Employed,Female,Returning,Firm1,0.5390567183494568
run,0,0,21,100k-200k,5,Divorced,Student,Male,New,,0.0
run,0,0,55,50k-100k,1,Single,Employed,Female,Returning,Firm1,0.5461366772651672
run,0,0,21,50k-100k,2,Married,Student,Female,Returning,Firm2,0.7009148597717285
run,0,0,27,50k-100k,2,Married,Unemployed,Female,Returning,Firm2,0.4738404154777527
run,0,0,45,<50k,1,Single,Employed,Female,Returning,Firm2,0.9181051254272461
run,0,0,34,100k-200k,1,Divorced,Employed,Female,New,,0.0
run,0,0,42,50k-100k,3,Single,Employed,Male,Returning,Firm1,0.5912347435951233
run,0,0,32,<50k,1,Single,Employed,Female,Returning,Firm2,0.664619505405426
run,0,0,64,100k-200k,1,Married,Employed,Male,New,,0.0
run,0,0,34,50k-100k,1,Single,Employed,Female,Returning,Firm2,0.9526317715644836
run,0,0,36,50k-100k,3,Married,Employed,Male,Returning,Firm1,0.5413360595703125
run,0,0,34,100k-200k,2,Single,Employed,Male,Returning,Firm1,0.4224454462528229
run,0,0,55,100k-200k,3,Single,Employed,Male,Returning,Firm1,0.5997623801231384
run,0,0,31,<50k,1,Single,Employed,Male,Returning,Firm2,0.9581271409988403
run,0,0,38,100k-200k,1,Single,Unemployed,Female,New,,0.0
run,0,0,36,<50k,3,Married,Employed,Male,Returning,Firm1,0.5205889940261841
run,0,0,56,200k+,4,Single,Employed,Male,Returning,Firm1,0.4244469702243805
run,0,0,18,50k-100k,2,Single,Student,Female,Returning,Firm2,0.5604273676872253
run,0,0,61,50k-100k,4,Single,Unemployed,Male,Returning,Firm1,0.5046306848526001
run,0,0,18,100k-200k,1,Single,Student,Male,Returning,Firm2,0.41619741916656494
run,0,0,35,50k-100k,3,Married,Employed,Female,Returning,Firm2,0.7868176698684692
run,0,0,45,200k+,3,Divorced,Employed,Female,Returning,Firm1,0.8393503427505493
run,0,0,30,50k-100k,1,Single,Employed,Male,New,,0.0
run,0,0,38,200k+,1,Married,Employed,Female,New,,0.0
run,0,0,18,50k-100k,3,Single,Student,Male,Returning,Firm2,0.6379697918891907
run,0,0,28,200k+,1,Divorced,Employed,Female,Returning,Firm2,0.43599197268486023
run,0,0,41,50k-100k,2,Single,Employed,Male,Returning,Firm1,0.5629062652587891
run,0,0,70,50k-100k,2,Married,Employed,Female,Returning,Firm1,0.9385480284690857
run,0,0,54,50k-100k,1,Single,Employed,Female,Returning,Firm1,0.573957622051239
run,0,0,45,50k-100k,4,Single,Employed,Female,New,,0.0
run,0,0,58,<50k,1,Divorced,Employed,Male,New,,0.0
run,0,0,66,<50k,2,Single,Employed,Female,Returning,Firm2,0.4782576560974121
run,0,0,50,50k-100k,2,Single,Employed,Female,New,,0.0
run,0,0,42,100k-200k,1,Single,Employed,Female,New,,0.0
run,0,0,26,<50k,3,Single,Employed,Male,New,,0.0
run,0,0,58,100k-200k,1,Divorced,Employed,Male,New,,0.0
run,0,0,53,200k+,4,Married,Employed,Male,New,,0.0
run,0,0,27,<50k,1,Single,Unemployed,Female,Returning,Firm2,0.6133050322532654
run,0,0,48,50k-100k,2,Married,Employed,Male,New,,0.0
run,0,0,28,50k-100k,6,Divorced,Employed,Male,Returning,Firm2,0.41167932748794556
run,0,0,37,50k-100k,2,Married,Employed,Male,New,,0.0
run,0,0,42,<50k,1,Single,Employed,Male,Returning,Firm2,0.9977098703384399
run,0,0,33,50k-100k,1,Married,Employed,Male,Returning,Firm1,0.4255465269088745
run,0,0,44,200k+,4,Married,Employed,Male,New,,0.0
run,0,0,35,50k-100k,1,Single,Employed,Female,New,,0.0
run,0,0,48,50k-100k,2,Single,Employed,Female,New,,0.0
run,0,0,57,200k+,1,Single,Employed,Female,New,,0.0
run,0,0,18,50k-100k,2,Married,Student,Male,Returning,Firm1,0.8314811587333679
run,0,0,24,100k-200k,1,Divorced,Employed,Male,New,,0.0
run,0,0,44,200k+,1,Single,Employed,Male,New,,0.0
run,0,0,44,50k-100k,1,Single,Employed,Male,Returning,Firm2,0.6788254380226135
run,0,0,38,200k+,2,Married,Unemployed,Male,Returning,Firm1,0.5746538639068604
run,0,0,43,200k+,1,Single,Employed,Male,New,,0.0
run,0,0,48,100k-200k,2,Married,Employed,Female,Returning,Firm2,0.8523404002189636
run,0,0,52,50k-100k,1,Married,Employed,Male,New,,0.0
run,0,0,24,<50k,2,Single,Employed,Female,Returning,Firm1,0.648003339767456
run,0,0,40,50k-100k,2,Single,Employed,Male,New,,0.0
run,0,0,47,100k-200k,3,Single,Employed,Female,Returning,Firm2,0.6648962497711182
run,0,0,43,<50k,2,Single,Employed,Male,Returning,Firm2,0.7496829032897949
run,0,0,29,100k-200k,3,Married,Employed,Female,Returning,Firm2,0.6800806522369385
run,0,0,27,50k-100k,4,Married,Employed,Male,New,,0.0
run,0,0,47,50k-100k,2,Single,Employed,Male,Returning,Firm2,0.5242621898651123
run,0,0,64,<50k,2,Married,Unemployed,Male,Returning,Firm1,0.508169412612915
run,0,0,43,50k-100k,4,Single,Employed,Male,Returning,Firm2,0.593445360660553
run,0,0,25,<50k,1,Single,Employed,Male,New,,0.0
run,0,0,61,<50k,1,Single,Employed,Female,Returning,Firm1,0.7379260659217834
run,0,0,43,200k+,1,Single,Employed,Male,New,,0.0
run,0,0,42,<50k,4,Single,Employed,Male,Returning,Firm1,0.595070481300354
run,0,0,25,50k-100k,1,Single,Employed,Male,New,,0.0
run,0,0,18,100k-200k,2,Single,Employed,Male,Returning,Firm2,0.9751209616661072
run,0,0,40,50k-100k,2,Divorced,Employed,Female,Returning,Firm2,0.7263389229774475
run,0,0,49,50k-100k,2,Married,Employed,Female,Returning,Firm1,0.49113863706588745
run,0,0,50,50k-100k,1,Single,Employed,Female,Returning,Firm2,0.860958456993103
run,0,0,18,<50k,1,Single,Student,Female,Returning,Firm1,0.9596977233886719
run,0,0,18,200k+,1,Divorced,Student,Female,New,,0.0
run,0,0,24,200k+,3,Married,Unemployed,Female,Returning,Firm1,0.6321585178375244
run,0,0,43,200k+,3,Single,Employed,Male,New,,0.0
run,0,0,23,100k-200k,1,Single,Employed,Male,New,,0.0
run,0,0,48,50k-100k,5,Single,Employed,Female,Returning,Firm1,0.8525111675262451
run,0,0,43,<50k,4,Single,Employed,Male,Returning,Firm2,0.5027464032173157
run,0,0,25,200k+,1,Married,Employed,Male,Returning,Firm1,0.9977945685386658
run,0,0,55,<50k,4,Single,Employed,Female,New,,0.0
run,0,0,18,50k-100k,2,Single,Student,Male,New,,0.0
run,0,0,35,<50k,5,Married,Employed,Male,New,,0.0
run,0,0,27,50k-100k,2,Married,Employed,Female,Returning,Firm1,0.4268801212310791
run,0,0,41,50k-100k,2,Single,Employed,Female,Returning,Firm1,0.4036100506782532
run,0,0,18,50k-100k,1,Divorced,Student,Male,Returning,Firm2,0.7698357701301575
run,0,0,44,<50k,1,Single,Employed,Male,Returning,Firm2,0.9761826395988464
run,0,0,45,<50k,2,Married,Employed,Male,Returning,Firm1,0.4608089327812195
run,0,0,32,50k-100k,2,Divorced,Employed,Female,Returning,Firm1,0.7499839067459106
run,0,0,23,50k-100k,1,Married,Employed,Male,New,,0.0
run,0,0,48,50k-100k,1,Single,Unemployed,Female,Returning,Firm1,0.7467508316040039
run,0,0,32,50k-100k,1,Single,Employed,Male,Returning,Firm1,0.5210467576980591
run,0,0,26,<50k,2,Married,Employed,Male,Returning,Firm1,0.8000351786613464
run,0,0,45,<50k,1,Married,Employed,Female,Returning,Firm1,0.837382435798645
run,0,0,36,50k-100k,5,Married,Employed,Male,Returning,Firm1,0.7663788199424744
run,0,0,50,<50k,3,Single,Employed,Male,Returning,Firm2,0.5301414728164673
run,0,0,48,200k+,2,Single,Unemployed,Male,Returning,Firm1,0.6220139265060425
run,0,0,33,50k-100k,2,Divorced,Employed,Female,Returning,Firm1,0.8836299180984497
run,0,0,46,50k-100k,3,Married,Employed,Female,Returning,Firm2,0.6279439330101013
run,0,0,40,<50k,1,Single,Employed,Male,New,,0.0
run,0,0,34,<50k,1,Married,Employed,Male,Returning,Firm1,0.9969929456710815
run,0,0,49,50k-100k,1,Single,Employed,Female,New,,0.0
run,0,0,18,50k-100k,2,Married,Student,Male,New,,0.0
run,0,0,40,200k+,2,Single,Employed,Male,Returning,Firm1,0.4266720116138458
run,0,0,40,100k-200k,1,Single,Unemployed,Female,Returning,Firm2,0.6266109347343445
run,0,0,47,<50k,2,Single,Unemployed,Female,New,,0.0
run,0,0,29,<50k,6,Single,Employed,Male,New,,0.0
run,0,0,47,200k+,1,Divorced,Employed,Female,Returning,Firm1,0.5799893140792847
run,0,0,39,200k+,4,Single,Employed,Male,Returning,Firm2,0.4593557119369507
run,0,0,39,100k-200k,2,Divorced,Employed,Female,Returning,Firm1,0.6683123707771301
run,0,0,34,50k-100k,4,Single,Employed,Male,New,,0.0
run,0,0,27,100k-200k,1,Single,Employed,Male,New,,0.0
run,0,0,34,100k-200k,2,Single,Employed,Male,Returning,Firm2,0.9306568503379822
run,0,0,30,<50k,2,Single,Unemployed,Male,Returning,Firm2,0.9694957137107849
run,0,0,36,50k-100k,2,Married,Unemployed,Female,Returning,Firm2,0.45686760544776917
run,0,0,33,100k-200k,1,Single,Employed,Female,New,,0.0
run,0,0,27,100k-200k,1,Single,Employed,Male,New,,0.0
run,0,0,23,200k+,4,Single,Employed,Female,Returning,Firm2,0.592782199382782
run,0,0,30,<50k,2,Married,Employed,Male,Returning,Firm1,0.8666130900382996
run,0,0,44,200k+,1,Single,Unemployed,Female,Returning,Firm2,0.5660120844841003
run,0,0,46,200k+,3,Married,Unemployed,Male,Returning,Firm2,0.6682167053222656
run,0,0,31,50k-100k,2,Married,Employed,Female,New,,0.0
run,0,0,18,200k+,3,Divorced,Student,Male,Returning,Firm1,0.4705977141857147
run,0,0,36,200k+,2,Single,Employed,Male,New,,0.0
