CustomerID,NewOrReturning,Age,Gender,HouseholdSize,IncomeBracket,MaritalStatus,EmploymentStatus,TravelDistance,Utility,PurchaseDecision
45,New,30,Male,3,50k-100k,Single,Employed,4.93,-6.090548431348341,False
46,Returning,53,Male,2,100k-200k,Divorced,Employed,0.97,-6.953661866121014,False
47,Returning,54,Female,3,50k-100k,Single,Employed,0.16,-7.742498203540688,False
48,Returning,29,Female,5,50k-100k,Divorced,Employed,0.9,-6.325075946201006,False
49,Returning,30,Male,5,50k-100k,Married,Employed,0.79,-4.746999469709074,False
50,New,32,Male,2,50k-100k,Single,Employed,1.65,-6.137688683529479,False
51,Returning,19,Male,3,100k-200k,Married,Student,2.17,-5.1418195821255255,False
52,Returning,24,Male,5,200k+,Single,Employed,2.84,-3.4293581780337252,False
53,Returning,23,Male,3,50k-100k,Widowed,Employed,2.59,-5.612744415177424,False
54,Returning,26,Male,2,100k-200k,Married,Employed,1.26,-6.549799572062341,False
55,Returning,35,Female,3,100k-200k,Single,Employed,0.12,-5.53974778481721,False
56,Returning,38,Male,1,50k-100k,Single,Employed,3.72,-6.526296146314293,False
57,New,54,Male,1,50k-100k,Single,Employed,2.02,-6.82142268329717,False
58,New,24,Male,4,200k+,Widowed,Employed,1.42,-7.076892799618985,False
59,New,47,Female,1,100k-200k,Single,Employed,8.07,-4.248242508915608,False
60,Returning,33,Female,5,100k-200k,Married,Employed,5.49,-5.327502575649439,False
61,Returning,35,Female,2,100k-200k,Single,Employed,7.8,-4.822901754184138,False
62,New,44,Male,3,<50k,Divorced,Employed,2.73,-7.19646192860664,False
63,Returning,22,Female,2,100k-200k,Single,Employed,0.56,-5.5900523702845275,False
64,Returning,40,Male,1,100k-200k,Married,Employed,4.77,-6.446441238135083,False
65,New,37,Female,1,100k-200k,Single,Employed,0.92,-6.338708721701824,False
66,Returning,41,Female,4,50k-100k,Married,Employed,2.33,-4.927673968760875,False
67,New,39,Female,3,<50k,Single,Employed,0.27,-5.613740687767471,False
68,Returning,65,Female,3,50k-100k,Single,Employed,6.98,-5.350030072516941,False
69,New,28,Female,5,200k+,Single,Employed,0.54,-7.227131032706718,False
70,Returning,29,Male,1,50k-100k,Married,Employed,9.34,-2.151189429939359,False
71,Returning,28,Female,4,50k-100k,Single,Employed,7.99,-3.095641029726864,False
72,New,29,Male,1,<50k,Married,Employed,2.5,-5.6473251751117015,False
73,New,28,Female,1,<50k,Single,Employed,5.46,-6.624203781590971,False
74,Returning,50,Male,1,100k-200k,Divorced,Employed,3.86,-6.034592161701965,False
75,Returning,53,Male,1,100k-200k,Divorced,Employed,6.5,-6.083420429776517,False
76,Returning,29,Male,1,100k-200k,Married,Employed,2.26,-4.742144060903612,False
77,Returning,26,Male,4,50k-100k,Single,Employed,6.16,-4.843497109148166,False
78,New,41,Male,2,100k-200k,Single,Employed,2.48,-6.617163858359833,False
79,Returning,29,Female,1,50k-100k,Single,Employed,11.32,-5.267755099124782,False
80,New,43,Male,1,50k-100k,Single,Unemployed,2.67,-5.393311857430096,False
81,Returning,38,Male,1,50k-100k,Married,Employed,2.48,-4.6179021531795215,False
82,Returning,18,Female,2,50k-100k,Married,Student,6.15,-3.9891684365137543,False
83,Returning,54,Male,2,50k-100k,Divorced,Employed,6.89,-4.779467934946023,False
84,New,57,Female,1,100k-200k,Single,Employed,3.23,-6.203124868802637,False
85,Returning,28,Female,2,100k-200k,Married,Employed,0.79,-9.31301382532912,False
86,Returning,31,Female,1,200k+,Single,Employed,2.52,-5.479839976191778,False
87,Returning,39,Female,2,50k-100k,Married,Employed,13.78,-4.3798287588441,False
88,Returning,40,Male,2,<50k,Single,Unemployed,5.59,-5.971517903678647,False
89,Returning,43,Female,1,50k-100k,Single,Employed,6.67,-5.510602652966793,False
90,Returning,60,Male,2,200k+,Single,Employed,0.13,-7.456762161949157,False
91,New,33,Male,1,100k-200k,Married,Employed,2.52,-5.429591443148815,False
92,Returning,26,Female,3,100k-200k,Divorced,Employed,4.16,-4.8237836859681495,False
93,Returning,19,Male,4,<50k,Single,Student,7.09,-4.549161217940341,False
94,Returning,27,Female,4,100k-200k,Single,Employed,0.2,-4.858422996426613,False
95,Returning,35,Female,3,<50k,Single,Employed,7.65,-4.673448355078377,False
96,Returning,57,Female,3,100k-200k,Married,Employed,3.18,-6.118029411538911,False
97,Returning,29,Female,2,200k+,Single,Employed,0.88,-5.93383684791609,False
98,Returning,38,Male,1,200k+,Married,Employed,1.53,-5.919375132746623,False
99,New,35,Male,2,100k-200k,Widowed,Employed,1.32,-5.969300550893381,False
100,New,50,Female,3,50k-100k,Divorced,Employed,3.03,-4.94728234402827,False
101,New,66,Male,1,200k+,Single,Employed,0.21,-5.654831246977509,False
102,Returning,29,Female,2,100k-200k,Divorced,Employed,0.69,-4.064156560430046,False
103,Returning,30,Female,1,<50k,Married,Employed,6.7,-3.538531020115328,False
104,Returning,48,Female,1,50k-100k,Single,Employed,0.57,-6.424850417386075,False
105,Returning,44,Male,2,50k-100k,Married,Employed,1.06,-10.147655548459369,False
106,New,58,Male,3,50k-100k,Married,Employed,2.42,-4.790167533872734,False
107,Returning,43,Male,2,50k-100k,Single,Employed,2.91,-6.518876338987055,False
108,Returning,31,Male,1,100k-200k,Single,Employed,5.77,-6.240983921831006,False
109,New,43,Female,3,50k-100k,Single,Employed,2.37,-6.3079452749893665,False
110,New,49,Male,2,50k-100k,Married,Employed,6.24,-6.0056430468146065,False
111,New,45,Male,2,100k-200k,Single,Employed,3.85,-5.035230189894607,False
112,New,42,Male,1,200k+,Divorced,Employed,0.48,-7.797435779126225,False
113,Returning,48,Female,4,100k-200k,Married,Employed,0.68,-6.965720745791602,False
114,Returning,50,Female,2,50k-100k,Married,Employed,2.3,-5.8118414458025836,False
115,Returning,52,Male,2,200k+,Single,Employed,2.02,-5.184055969586693,False
116,Returning,43,Male,1,200k+,Married,Employed,5.44,-4.8074583550639876,False
117,Returning,33,Male,2,50k-100k,Single,Employed,3.48,-6.630036278933299,False
118,New,37,Male,2,<50k,Single,Employed,1.96,-7.269265649266241,False
119,Returning,50,Female,2,100k-200k,Married,Employed,0.75,-6.69413483378792,False
120,Returning,26,Female,4,200k+,Single,Employed,1.03,-5.285627247715275,False
121,Returning,40,Male,1,200k+,Married,Employed,3.43,-4.25002263072745,False
122,Returning,31,Male,1,200k+,Single,Employed,2.2,-7.8724371857707505,False
123,Returning,36,Female,4,100k-200k,Single,Employed,2.89,-5.667228756958367,False
124,New,51,Male,1,100k-200k,Single,Employed,0.75,-7.625178441025204,False
125,New,38,Female,1,<50k,Widowed,Employed,4.35,-7.83974267735349,False
126,Returning,36,Male,3,50k-100k,Married,Employed,7.66,-4.164043354655184,False
127,Returning,19,Male,1,50k-100k,Married,Student,1.19,-5.8718754255006615,False
128,Returning,44,Male,1,100k-200k,Single,Employed,2.71,-5.514066484052737,False
129,New,43,Male,1,100k-200k,Single,Unemployed,14.84,-3.5679741602690065,False
130,Returning,61,Female,1,100k-200k,Widowed,Employed,1.62,-6.791718896766136,False
131,Returning,32,Male,2,50k-100k,Single,Employed,3.62,-6.249637516333529,False
132,New,38,Male,2,100k-200k,Single,Employed,0.38,-3.9472693832774257,False
133,New,38,Male,1,<50k,Married,Unemployed,3.73,-6.827071054259574,False
134,Returning,54,Male,2,50k-100k,Single,Unemployed,0.38,-6.027867886945908,False
135,Returning,34,Male,3,100k-200k,Married,Employed,12.8,-4.143618459036685,False
136,Returning,39,Male,1,100k-200k,Married,Employed,5.03,-7.488758530078415,False
137,Returning,43,Female,3,200k+,Single,Employed,6.21,-7.0281290038012685,False
138,Returning,38,Male,1,50k-100k,Single,Employed,4.87,-6.388484219939905,False
139,Returning,30,Male,4,50k-100k,Single,Employed,3.56,-4.459898748330011,False
140,Returning,38,Female,5,50k-100k,Divorced,Employed,2.39,-4.893208343363996,False
141,Returning,48,Male,1,50k-100k,Married,Employed,7.82,-4.552922835775966,False
142,New,23,Female,1,200k+,Single,Employed,12.57,-5.216546178936315,False
143,Returning,37,Male,4,100k-200k,Single,Employed,2.76,-3.8551275098776863,False
144,Returning,27,Female,1,200k+,Married,Employed,10.73,-5.540393300186384,False
145,New,50,Female,1,50k-100k,Married,Employed,3.5,-5.9121756013300315,False
146,New,18,Female,3,200k+,Single,Student,3.09,-5.436852289907737,False
147,Returning,29,Female,2,<50k,Single,Employed,2.42,-6.355873820314587,False
148,Returning,40,Male,1,200k+,Single,Employed,0.94,-4.720407861704393,False
149,New,54,Female,1,50k-100k,Married,Employed,0.01,-7.37361052016596,False
150,New,35,Male,2,50k-100k,Widowed,Employed,1.11,-7.658105255711929,False
151,Returning,29,Male,1,100k-200k,Single,Employed,2.85,-5.847504513793581,False
152,New,58,Male,4,200k+,Married,Employed,1.91,-6.003326734286527,False
153,New,18,Female,3,<50k,Single,Student,2.38,-2.7056170809173543,False
154,Returning,18,Male,1,50k-100k,Single,Student,15.78,-3.496492523560025,False
155,Returning,41,Female,2,200k+,Single,Employed,1.72,-6.206340575218625,False
156,New,29,Female,4,50k-100k,Married,Employed,2.41,-6.789611569187087,False
157,Returning,23,Female,2,50k-100k,Single,Employed,0.57,-8.109788410568784,False
158,Returning,44,Female,1,50k-100k,Married,Employed,0.2,-7.615219085737433,False
159,New,38,Male,2,50k-100k,Single,Employed,5.97,-5.379558228240868,False
160,Returning,29,Male,2,200k+,Single,Employed,3.38,-4.06067134840523,False
161,Returning,20,Male,2,100k-200k,Single,Student,5.72,-4.220310857612081,False
162,Returning,46,Male,1,100k-200k,Married,Employed,0.65,-6.10340516835362,False
163,Returning,43,Male,1,200k+,Single,Unemployed,3.39,-6.379667665702485,False
164,Returning,34,Male,3,50k-100k,Married,Employed,1.17,-5.8256876435878455,False
165,New,58,Male,5,<50k,Single,Employed,1.04,-6.6026379974845755,False
166,Returning,23,Female,1,50k-100k,Single,Employed,0.05,-4.739136004236124,False
167,Returning,18,Female,2,50k-100k,Single,Employed,0.56,-6.395190181275081,False
168,New,27,Male,2,50k-100k,Single,Employed,1.48,-6.199337858246726,False
169,New,35,Female,2,200k+,Single,Employed,0.5,-8.165822425020668,False
170,Returning,38,Male,2,100k-200k,Single,Employed,17.03,-3.830934846522764,False
171,Returning,33,Male,2,50k-100k,Married,Employed,1.48,-5.356515862035058,False
172,New,40,Female,1,100k-200k,Married,Employed,0.56,-7.3837225770385455,False
173,Returning,20,Male,4,100k-200k,Single,Employed,0.89,-6.4172203344928125,False
174,New,53,Male,3,200k+,Single,Employed,3.54,-4.641288982266334,False
175,Returning,35,Female,1,200k+,Single,Employed,0.26,-7.612657223518053,False
176,New,49,Female,2,100k-200k,Single,Employed,7.93,-3.9976989924580817,False
177,Returning,40,Female,2,100k-200k,Single,Employed,13.03,-4.777643890173102,False
178,Returning,41,Female,3,100k-200k,Divorced,Employed,1.13,-6.374068220491203,False
179,Returning,42,Female,1,100k-200k,Single,Employed,2.39,-7.125378405125594,False
180,New,41,Male,2,<50k,Single,Employed,0.09,-6.213453739572117,False
181,Returning,43,Male,1,<50k,Single,Employed,4.09,-3.6916280149706204,False
182,New,51,Male,3,100k-200k,Single,Employed,2.14,-5.002502760539368,False
183,Returning,38,Male,3,50k-100k,Married,Employed,1.26,-6.965285261940536,False
184,Returning,44,Female,2,<50k,Single,Employed,0.93,-5.344879414508524,False
185,New,34,Male,1,100k-200k,Single,Employed,4.25,-5.99917954593425,False
186,Returning,53,Female,3,<50k,Married,Employed,2.15,-4.86801501857244,False
187,Returning,27,Female,2,100k-200k,Single,Employed,0.79,-5.209823597835637,False
188,Returning,57,Female,4,100k-200k,Married,Employed,4.67,-8.277641565471733,False
189,Returning,35,Female,1,200k+,Married,Unemployed,3.33,-7.079579632955028,False
190,New,18,Female,3,50k-100k,Single,Employed,7.83,-4.021114777164611,False
191,New,37,Male,2,<50k,Married,Employed,0.5,-6.408342727854982,False
192,Returning,27,Female,4,100k-200k,Single,Employed,6.16,-5.93475594770785,False
193,Returning,46,Male,1,200k+,Married,Employed,4.48,-6.241589515493813,False
194,Returning,28,Female,2,200k+,Single,Employed,0.49,-7.822736620089381,False
195,Returning,30,Male,1,50k-100k,Single,Employed,4.75,-5.875873287526396,False
196,Returning,18,Female,1,50k-100k,Married,Student,2.33,-4.029810273984236,False
197,Returning,30,Female,1,200k+,Divorced,Employed,11.6,-3.705066609267674,False
198,Returning,18,Male,1,50k-100k,Widowed,Student,0.61,-4.358082998811577,False
199,Returning,18,Male,1,100k-200k,Married,Student,4.12,-4.88960291021002,False
200,Returning,45,Female,2,50k-100k,Single,Employed,1.92,-5.109520656647309,False
201,Returning,45,Male,3,<50k,Single,Employed,12.57,-2.615421312254976,False
202,New,41,Female,5,50k-100k,Single,Employed,1.6,-5.337736740657774,False
203,New,24,Female,3,50k-100k,Single,Employed,13.1,-4.39222732150688,False
204,Returning,35,Male,2,100k-200k,Single,Employed,9.27,-3.751842483377988,False
205,Returning,35,Male,4,200k+,Divorced,Employed,1.26,-4.182159762878115,False
206,New,22,Male,3,50k-100k,Single,Employed,6.51,-5.663464642712209,False
207,New,54,Female,2,200k+,Single,Employed,21.71,-3.5850690823400293,False
208,Returning,46,Male,1,<50k,Single,Unemployed,1.16,-6.8171439675691206,False
209,New,33,Female,1,100k-200k,Married,Unemployed,2.3,-5.538501133068338,False
210,New,36,Male,4,<50k,Married,Unemployed,2.94,-5.4409089513384385,False
211,Returning,38,Female,5,200k+,Married,Employed,1.4,-6.854167600187599,False
212,Returning,18,Female,1,100k-200k,Single,Student,0.06,-4.4193939329366785,False
213,Returning,33,Female,3,100k-200k,Married,Employed,0.99,-6.55766492939685,False
214,New,27,Male,2,200k+,Single,Employed,1.32,-6.052064996888579,False
215,Returning,23,Female,1,100k-200k,Divorced,Employed,2.35,-6.91515435998782,False
216,New,32,Female,2,200k+,Married,Employed,0.75,-3.249171164062912,False
217,Returning,57,Female,1,100k-200k,Single,Unemployed,8.26,-5.303929329712033,False
218,Returning,43,Female,2,200k+,Single,Employed,4.88,-6.183975080681565,False
219,Returning,29,Male,1,100k-200k,Married,Unemployed,0.36,-5.777076450037554,False
220,Returning,42,Male,1,<50k,Single,Employed,4.2,-5.360864220689967,False
221,Returning,52,Female,2,100k-200k,Divorced,Employed,4.24,-5.911727023579884,False
222,Returning,47,Male,1,<50k,Single,Employed,12.51,-4.0678932872166165,False
223,New,36,Female,2,100k-200k,Single,Employed,0.01,-7.003791960830864,False
224,Returning,28,Female,3,50k-100k,Single,Employed,1.14,-6.511918274949252,False
225,New,44,Male,1,100k-200k,Single,Employed,10.51,-6.803716654566063,False
226,New,40,Female,1,<50k,Single,Employed,10.76,-6.459951084219563,False
227,Returning,46,Male,2,50k-100k,Single,Employed,5.1,-3.8573691943293142,False
228,Returning,43,Female,1,50k-100k,Married,Employed,5.81,-4.102071372277686,False
229,Returning,48,Female,2,200k+,Single,Employed,0.38,-5.967211351351037,False
230,Returning,29,Female,3,50k-100k,Widowed,Employed,2.89,-4.198568552810162,False
231,Returning,51,Male,2,50k-100k,Married,Employed,1.05,-6.507574486608305,False
232,Returning,38,Male,3,100k-200k,Married,Employed,0.8,-6.213410302567907,False
233,Returning,60,Female,3,100k-200k,Single,Employed,6.65,-5.095989351534444,False
234,Returning,27,Female,3,50k-100k,Single,Employed,0.58,-6.222921595323565,False
235,New,56,Female,2,50k-100k,Single,Employed,2.53,-6.31569632356018,False
236,Returning,38,Male,1,50k-100k,Married,Employed,11.16,-3.7726018928504477,False
237,New,28,Male,2,200k+,Divorced,Employed,0.82,-5.816864346043797,False
238,New,30,Male,2,<50k,Single,Employed,15.27,-3.5470182355661954,False
239,Returning,32,Female,2,50k-100k,Single,Employed,20.66,-2.229619474722669,False
240,New,41,Male,3,<50k,Divorced,Employed,3.24,-5.680814204345267,False
241,Returning,42,Male,1,50k-100k,Single,Unemployed,0.75,-7.767771325908239,False
242,Returning,29,Female,2,100k-200k,Married,Employed,1.52,-7.319865888964039,False
243,Returning,35,Male,1,50k-100k,Married,Employed,2.21,-6.094719365192695,False
244,Returning,61,Female,1,<50k,Married,Employed,1.48,-6.8542563048249345,False
245,New,56,Female,2,50k-100k,Single,Employed,1.32,-6.194608571079878,False
246,Returning,41,Female,3,<50k,Single,Unemployed,14.34,-4.670054039248586,False
247,Returning,36,Male,1,<50k,Married,Employed,0.67,-4.095926339833433,False
248,Returning,37,Male,1,200k+,Divorced,Employed,5.29,-6.821726255641338,False
249,Returning,43,Female,4,100k-200k,Single,Employed,0.0,-7.904946269821124,False
250,Returning,23,Female,1,200k+,Single,Employed,3.63,-5.23812316648039,False
251,New,32,Female,2,200k+,Married,Employed,9.91,-4.949922554588196,False
252,Returning,18,Male,1,100k-200k,Divorced,Student,1.36,-5.919932130270048,False
253,Returning,40,Female,4,<50k,Married,Employed,0.82,-5.643116977715999,False
254,Returning,43,Female,3,100k-200k,Widowed,Employed,4.22,-4.247895304821102,False
255,New,30,Female,2,200k+,Single,Employed,4.99,-6.758725820383939,False
256,Returning,54,Female,2,100k-200k,Single,Employed,4.66,-6.1277178978571625,False
257,Returning,21,Female,3,100k-200k,Married,Student,1.54,-5.445238741119237,False
258,Returning,18,Female,3,50k-100k,Married,Student,1.16,-5.345536404312773,False
259,Returning,38,Male,1,200k+,Single,Employed,12.49,-2.123050449711614,False
260,New,48,Male,3,100k-200k,Single,Employed,10.27,-3.593796028886133,False
261,Returning,56,Male,3,200k+,Married,Employed,2.44,-5.720788595886277,False
262,Returning,30,Male,1,50k-100k,Single,Employed,7.49,-6.266935752942661,False
263,New,48,Male,4,50k-100k,Single,Employed,2.41,-6.34278985271902,False
264,Returning,35,Male,4,50k-100k,Married,Employed,2.21,-6.386202822957106,False
265,Returning,33,Male,2,100k-200k,Married,Unemployed,0.68,-5.807766371486239,False
266,Returning,46,Male,2,50k-100k,Married,Employed,2.22,-5.89000255441417,False
267,Returning,43,Female,2,<50k,Single,Employed,3.08,-7.476649570842179,False
268,Returning,18,Female,1,200k+,Married,Student,0.09,-6.662401469090432,False
269,Returning,53,Male,2,<50k,Married,Employed,2.35,-5.484952446548579,False
270,New,52,Female,2,200k+,Married,Employed,6.08,-4.896337645025941,False
271,Returning,28,Female,3,50k-100k,Married,Unemployed,4.56,-5.33735538398723,False
272,Returning,40,Male,1,200k+,Single,Unemployed,4.03,-5.562578289942737,False
273,Returning,41,Male,1,100k-200k,Single,Employed,9.61,-3.287069265391141,False
274,Returning,39,Male,3,200k+,Single,Unemployed,0.07,-5.99845693617563,False
275,Returning,29,Female,3,200k+,Single,Employed,3.26,-5.742022797870698,False
276,Returning,27,Female,4,<50k,Married,Employed,6.19,-6.272255041133561,False
277,Returning,35,Male,1,<50k,Married,Employed,3.12,-6.057390541790289,False
278,Returning,50,Male,3,50k-100k,Married,Employed,1.57,-8.555204014775084,False
279,Returning,42,Male,1,100k-200k,Married,Employed,0.59,-6.505789001832713,False
280,Returning,31,Male,2,200k+,Single,Employed,8.74,-4.899839859921344,False
281,Returning,45,Male,5,50k-100k,Single,Employed,2.55,-6.956970853617281,False
282,Returning,18,Male,1,100k-200k,Single,Student,8.42,-6.005265838655996,False
283,Returning,49,Female,1,50k-100k,Single,Employed,3.53,-5.255842469851759,False
284,New,18,Female,3,200k+,Single,Student,4.49,-4.9857882509250375,False
285,Returning,31,Male,3,200k+,Married,Employed,6.52,-4.825211666292672,False
286,New,22,Female,1,50k-100k,Widowed,Employed,4.31,-5.607152466067977,False
287,Returning,20,Male,1,50k-100k,Single,Student,2.03,-6.152872412051076,False
288,Returning,49,Male,3,<50k,Single,Employed,2.88,-4.820137437141685,False
289,New,30,Male,3,100k-200k,Married,Employed,6.5,-4.951570818296352,False
290,Returning,40,Female,1,100k-200k,Single,Employed,1.87,-7.52771311381875,False
291,New,35,Female,2,<50k,Married,Employed,1.96,-4.70087003512559,False
292,New,41,Female,1,50k-100k,Married,Unemployed,0.4,-6.524659732671155,False
293,Returning,36,Male,4,50k-100k,Divorced,Employed,9.84,-5.293253730795068,False
294,Returning,20,Female,1,100k-200k,Single,Employed,0.38,-7.446401718295018,False
295,New,47,Male,2,100k-200k,Married,Employed,4.18,-5.262085779041955,False
296,Returning,30,Female,1,<50k,Single,Employed,2.13,-6.497672004974375,False
297,Returning,18,Male,1,100k-200k,Married,Student,2.08,-4.5038532139675915,False
298,New,30,Male,1,100k-200k,Single,Employed,4.55,-5.963407280666828,False
299,Returning,54,Female,2,50k-100k,Single,Employed,0.28,-7.2653807896824665,False
300,New,46,Female,5,<50k,Married,Employed,3.6,-4.794203781764071,False
301,New,31,Male,1,100k-200k,Married,Employed,5.91,-4.543218107283169,False
302,Returning,31,Female,3,200k+,Married,Employed,7.05,-4.678848632389805,False
303,Returning,32,Male,1,50k-100k,Married,Employed,0.75,-5.771142952325091,False
304,Returning,60,Female,5,50k-100k,Married,Employed,9.11,-4.771187120742238,False
305,Returning,40,Female,2,50k-100k,Single,Employed,4.27,-5.525634898990753,False
306,Returning,41,Female,1,100k-200k,Married,Employed,8.54,-3.9590091174360778,False
307,Returning,48,Female,1,50k-100k,Married,Employed,2.66,-5.615681665978497,False
308,Returning,38,Female,2,50k-100k,Divorced,Employed,3.12,-6.191274438332625,False
309,Returning,32,Male,1,100k-200k,Divorced,Employed,10.06,-3.548637454073849,False
310,New,33,Female,1,100k-200k,Single,Employed,9.21,-7.298355372791512,False
311,Returning,35,Male,3,50k-100k,Married,Employed,2.38,-3.865926688578065,False
312,New,35,Male,1,50k-100k,Single,Employed,1.28,-8.038959094890735,False
313,New,44,Male,1,100k-200k,Single,Employed,2.0,-6.697092824772296,False
314,Returning,36,Male,2,<50k,Married,Employed,1.96,-6.376917535195069,False
315,Returning,44,Female,2,<50k,Single,Employed,1.35,-6.563980670728162,False
316,Returning,35,Male,2,200k+,Married,Employed,1.25,-4.881088959973446,False
317,Returning,36,Female,4,<50k,Single,Employed,7.89,-6.154336618610234,False
318,New,18,Male,3,100k-200k,Single,Student,0.29,-5.735733182516937,False
319,New,46,Male,1,200k+,Married,Employed,4.53,-6.178712098219754,False
320,New,40,Female,3,50k-100k,Married,Employed,0.76,-5.8908590206625835,False
321,Returning,47,Male,1,50k-100k,Divorced,Employed,1.69,-6.496272259797876,False
322,Returning,18,Male,3,100k-200k,Married,Student,0.25,-5.959564347317023,False
323,Returning,61,Female,3,200k+,Married,Employed,1.26,-6.415924832464345,False
324,New,34,Male,2,200k+,Single,Employed,5.85,-5.6525639500960825,False
325,Returning,49,Female,3,100k-200k,Single,Employed,8.65,-4.510227485972573,False
326,Returning,23,Male,2,<50k,Single,Employed,1.0,-5.421284494243956,False
327,Returning,43,Male,3,100k-200k,Married,Unemployed,2.49,-6.689779334197848,False
328,Returning,23,Female,1,50k-100k,Married,Employed,2.54,-7.00276754457291,False
329,Returning,28,Male,3,50k-100k,Single,Employed,8.27,-4.336039834328163,False
330,New,58,Male,2,<50k,Married,Employed,5.76,-5.908503893057689,False
331,Returning,33,Male,4,50k-100k,Married,Employed,2.88,-4.852501866014048,False
332,Returning,38,Male,3,100k-200k,Single,Employed,4.44,-6.279797213371147,False
333,New,46,Female,1,50k-100k,Single,Employed,7.52,-7.231438925423431,False
334,New,41,Male,1,50k-100k,Married,Employed,0.04,-7.132004081826334,False
335,New,37,Female,2,50k-100k,Married,Employed,2.06,-6.892352609265016,False
336,New,40,Female,4,200k+,Divorced,Employed,9.51,-4.5022884000803005,False
337,Returning,64,Male,2,100k-200k,Single,Employed,5.39,-6.148345214270389,False
338,Returning,35,Female,3,50k-100k,Widowed,Employed,3.13,-5.114483048663551,False
339,Returning,38,Male,1,<50k,Single,Employed,3.02,-6.575150262422516,False
340,New,48,Female,2,50k-100k,Single,Employed,1.71,-6.033025501226099,False
341,Returning,49,Male,4,200k+,Widowed,Employed,2.94,-5.296365441559056,False
342,Returning,50,Female,4,100k-200k,Single,Employed,4.26,-5.1160449075878125,False
343,New,43,Male,1,100k-200k,Married,Employed,2.17,-6.113629110454974,False
344,Returning,22,Male,3,100k-200k,Single,Employed,5.01,-4.697899309589687,False
345,Returning,55,Female,1,50k-100k,Married,Employed,7.9,-6.2856551338258075,False
